id,t,x,y,v_x,v_y,a_x,a_y
0,0.0,10,10,0,0,0,0
0,0.016666666666666666,10.0,10.0,0.0,0.0,0.0,0.0
0,0.03333333333333333,10.0,10.0,0.0,0.0,0.0,0.0
0,0.05,10.0,10.0,0.0,0.0,0.0,0.0
0,0.06666666666666667,10.0,10.0,0.0,0.0,0.0,0.0
0,0.08333333333333333,10.0,10.0,0.0,0.0,0.0,0.0
0,0.1,10.0,10.0,0.0,0.0,0.0,0.0
0,0.11666666666666667,10.0,10.0,0.0,0.0,0.0,0.0
0,0.13333333333333333,10.0,10.0,0.0,0.0,0.0,0.0
0,0.15,10.0,10.0,0.0,0.0,0.0,0.0
0,0.16666666666666666,10.0,10.0,0.0,0.0,0.0,0.0
0,0.18333333333333332,10.0,10.0,0.0,0.0,0.0,0.0
0,0.2,10.0,10.0,0.0,0.0,0.0,0.0
0,0.21666666666666667,10.0,10.0,0.0,0.0,0.0,0.0
0,0.23333333333333334,10.0,10.0,0.0,0.0,0.0,0.0
0,0.25,10.0,10.0,0.0,0.0,0.0,0.0
0,0.26666666666666666,10.0,10.0,0.0,0.0,0.0,0.0
0,0.2833333333333333,10.0,10.0,0.0,0.0,0.0,0.0
0,0.3,10.0,10.0,0.0,0.0,0.0,0.0
0,0.31666666666666665,10.0,10.0,0.0,0.0,0.0,0.0
0,0.3333333333333333,10.0,10.0,0.0,0.0,0.0,0.0
0,0.35,10.0,10.0,0.0,0.0,0.0,0.0
0,0.36666666666666664,10.0,10.0,0.0,0.0,0.0,0.0
0,0.38333333333333336,10.0,10.0,0.0,0.0,0.0,0.0
0,0.4,10.0,10.0,0.0,0.0,0.0,0.0
0,0.4166666666666667,10.0,10.0,0.0,0.0,0.0,0.0
0,0.43333333333333335,10.0,10.0,0.0,0.0,0.0,0.0
0,0.45,10.0,10.0,0.0,0.0,0.0,0.0
0,0.4666666666666667,10.0,10.0,0.0,0.0,0.0,0.0
0,0.48333333333333334,10.0,10.0,0.0,0.0,0.0,0.0
0,0.5,10.0,10.0,0.0,0.0,0.0,0.0
0,0.5166666666666667,10.0,10.0,0.0,0.0,0.0,0.0
0,0.5333333333333333,10.0,10.0,0.0,0.0,0.0,0.0
0,0.55,10.0,10.0,0.0,0.0,0.0,0.0
0,0.5666666666666667,10.0,10.0,0.0,0.0,0.0,0.0
0,0.5833333333333334,10.0,10.0,0.0,0.0,0.0,0.0
0,0.6,10.0,10.0,0.0,0.0,0.0,0.0
0,0.6166666666666667,10.0,10.0,0.0,0.0,0.0,0.0
0,0.6333333333333333,10.0,10.0,0.0,0.0,0.0,0.0
0,0.65,10.0,10.0,0.0,0.0,0.0,0.0
0,0.6666666666666666,10.0,10.0,0.0,0.0,0.0,0.0
0,0.6833333333333333,10.0,10.0,0.0,0.0,0.0,0.0
0,0.7,10.0,10.0,0.0,0.0,0.0,0.0
0,0.7166666666666667,10.0,10.0,0.0,0.0,0.0,0.0
0,0.7333333333333333,10.0,10.0,0.0,0.0,0.0,0.0
0,0.75,10.0,10.0,0.0,0.0,0.0,0.0
0,0.7666666666666667,10.001876319444445,10.000626319444445,0.22515833333333332,0.07515833333333333,13.5095,4.5095
0,0.7833333333333333,10.007505017177856,10.002505190788966,0.4502853946759259,0.15030622800925925,13.507623680555554,4.508873680555555
0,0.8,10.016885050836736,10.0056362660904,0.6753186443896283,0.2254228081627765,13.501994982822143,4.506994809211034
0,0.8166666666666667,10.030014335875059,10.010018849522822,0.900195560209016,0.30048720372793647,13.492614949163263,4.5038637339096
0,0.8333333333333334,10.046889745998559,10.01565189752252,1.1248536546110983,0.37547855623588944,13.47948566412494,4.499481150477178
0,0.85,10.067507113888466,10.022534019029575,1.349230492177789,0.45037602461051407,13.46261025400144,4.49384810247748
0,0.8666666666666667,10.0918612322145,10.030663475825996,1.5732637069463145,0.5251587909600212,13.441992886111533,4.486965980970425
0,0.8833333333333333,10.119945854936908,10.040038182970354,1.7968910197427395,0.5998060663629212,13.4176387677855,4.478836524174004
0,0.9,10.151753698897213,10.050655709328769,2.020050255493791,0.6742970966467486,13.38955414506309,4.469461817029646
0,0.9166666666666666,10.187276445697263,10.06265216709103,2.2426793605121706,0.7652778348246025,13.357746301102786,5.458844290671231
0,0.9333333333333333,10.22636585497723,10.0761633043149,2.448049753083883,0.8560586320397521,12.322223554302736,5.446847832908969
0,0.95,10.26887267504877,10.091185578278852,2.652768655500929,0.9466142436345037,12.28313414502277,5.4333366956851
0,0.9666666666666667,10.314785573102252,10.10771502600911,2.856779110916783,1.0369194839965228,12.240627324951229,5.418314421721148
0,0.9833333333333333,10.364092268621269,10.125747265322106,3.0600243513650787,1.1269492335630376,12.194714426897747,5.40178497399089
0,1.0,10.416779536662267,10.145277495983528,3.2624478135547244,1.2166784458076692,12.14540773137873,5.383752734677894
0,1.0166666666666666,10.472833211396976,10.166300500983658,3.4639931546103533,1.3060821542079437,12.092720463337733,5.364222504016472
0,1.0333333333333334,10.532238189916677,10.188810647928653,3.664604267753737,1.3951354791915493,12.036666788603023,5.343199499016342
0,1.05,10.594978436297307,10.21280189054741,3.8642252979217924,1.4838136350594051,11.977261810083322,5.320689352071347
0,1.0666666666666667,10.661036985924296,10.238267770313602,4.062800657316838,1.572091936883615,11.914521563702692,5.296698109452589
0,1.0833333333333333,10.730257061187087,10.265201418182452,4.243608374218099,1.6599458073783884,10.848463014075703,5.271232229686398
0,1.1,10.80248098449889,10.293595556441788,4.423262423198315,1.7473507837420141,10.779242938812912,5.2442985818175485
